NitricOxide,NitrogenDioxide,OxidesofNitrogen,WindSpeed,ResultantWindSpeed,ResultantWindDirection,MaximumWindGust,Std.Dev.WindDirection,OutdoorTemperature,DewPointTemperature,RelativeHumidity,SolarRadiation,PM10,Ozone
-0.2,1.7,1.6,9.2,9,83,17.8,14,79.7,51.1,37,0.047,31.3,0
0.8,9.2,10,3.8,2,221,8.6,56,85.7,43.9,23.3,1.209,66.2,1
0.5,4,4.5,12.9,12.2,92,25.4,20,93.1,45.8,19.8,0.896,35.9,0
1.1,26.9,28.1,4.4,4.1,116,9.4,20,90.2,34.2,13.8,0,50.8,0
0.1,3.6,3.7,8.5,8.1,287,17.9,19,90.7,44.8,20.7,0,13.7,0
0.7,5.6,6.2,6.5,5.5,145,15,32,102.1,6,2.9,0.713,31,1
0.6,2.8,3.4,5,3.8,163,10.5,40,86.7,52.3,30.9,1.442,31.9,1
0,1.3,1.3,4,2.7,286,11.3,47,92.5,27.1,9.6,0.412,23.9,1
0.2,5.5,5.7,5.5,5.3,308,10.9,16,86.2,48.5,27.2,0,22.9,0
8.7,16.9,25.2,5.3,5.2,286,11.5,14,64.2,35.7,34.7,0.307,28.4,0
0.2,-0.3,-0.1,9.1,8.5,284,22.7,21,79.4,57.5,47.1,0,31.1,0
0.3,3.5,3.8,3.9,1.3,130,9.3,66,96.2,38.1,13.4,1.015,47.7,1
0.1,2.6,2.8,6,3.9,309,15.4,48,97.4,44.3,16.4,1.373,25.9,1
0.6,18.9,19.6,4.3,4.2,114,10.2,15,85.9,40.4,20.3,0,25.2,0
0.3,9.2,9.5,2.9,2.6,142,7.4,27,92.3,38.4,15.2,0.026,28.4,1
0.4,8.3,8.6,9.5,9.1,129,19.3,17,91,39.8,16.7,0,57.2,0
0,0,0,5.6,4.4,101,14.7,37,84.7,45.6,25.7,1.333,26.7,1
0.2,4,4.2,6.4,6.1,82,11.7,17,85.1,36.4,17.7,0,62.1,0
2.3,19,21.5,5.7,5.5,101,10,15,81.2,42.1,25.1,0.022,25.5,0
0.8,1.9,2.9,5.8,4.8,146,16.9,34,91.4,41,17.5,1.343,29.3,0
0.5,2.1,2.5,8.3,6.7,236,17.4,35,93.5,6.5,3.9,1.461,30.1,0
0.2,6,6.3,5.4,3.4,100,12.9,49,87.6,50.5,28,1.278,23.8,1
0.3,3.7,4,6.1,3.2,253,17.4,56,81.9,29.8,15.8,1.504,14.3,1
0.1,-1.9,-1.7,7.4,6.1,269,16.7,34,85.2,52,31.7,1.442,17.5,0
0.2,3.2,3.4,5.9,4.3,103,14.9,42,86.1,47.9,26.7,1.346,25.4,1
0.4,8,8.5,9.1,8.9,89,17.2,13,70.5,51.8,51.6,0.004,87.1,0
0.4,2.6,3,4.9,1.9,136,13,63,92.8,40.7,16.6,1.411,54.4,1
0.7,3.2,3.9,8.3,7.6,124,17.4,24,81,58.7,46.8,0.212,16.9,0
0.3,3.5,4.6,5.1,3.7,73,11.2,42,89.3,46.9,23.3,1.354,30.2,1
0.2,4.2,4.5,4,1.1,240,10.9,69,88.5,30.8,12.9,1.25,39.8,1
0.5,11.8,12.2,9.6,9.5,298,16.6,10,81,55.1,41,0,19.4,0
0.7,4,4.7,6.8,5.8,261,15.4,31,85.5,52.5,32.4,1.101,14.9,0
2.1,6.4,8.6,8,7.7,287,14.6,16,75,57.6,54.6,0.791,15.5,0
0.6,1.9,2.5,6.9,5.5,84,16,37,91.3,50.5,24.9,0.99,21,0
0.1,1.9,1,4.7,3.1,164,12.5,47,96.7,38.3,13.3,1.291,22.1,1
1.2,2.6,3.8,7.8,6.4,107,24.1,34,82.1,24.9,12.3,1.109,25.2,0
0.3,1.8,2,6.3,4.1,313,16.9,48,91.5,41.8,17.9,1.144,10.9,0
0.1,5.8,5.9,9.6,9.2,120,19.4,17,100.4,31.1,8.9,0.074,36.6,0
-0.1,1.4,1.2,9.1,8.8,291,15.5,13,64.6,61.2,88.6,0,10.3,0
1,4.4,5.5,7.1,6.4,99,14,26,80.3,48,32.4,1.212,42.1,0
0.2,3.1,3.4,5.4,3.7,106,13.2,46,80.1,15.5,8.7,0.665,20.8,1
0.9,0.9,1.9,7.9,7.4,290,13.8,21,75.8,57.2,52.6,0.832,14,0
0.2,4.5,4.6,7.6,6.6,67,16.7,30,83.9,52,33.3,1.322,22.4,1
0.1,10.9,11.1,3.5,1.1,242,12,67,86.1,46.6,25.4,1.35,35.3,1
0,0,0,5.7,4.9,102,12.4,30,86.7,44.9,23.4,1.132,26.6,1
-0.1,-0.3,-0.5,7.1,5.5,256,16.3,38,86.7,0.2,3.6,0.696,16.8,1
0.2,4.4,4.6,4.2,3.8,150,10.8,24,82.1,16.8,8.7,0.041,23.7,1
0.9,8.6,9.5,4.5,3.2,139,12.8,44,91.9,35.4,13.8,1.307,32.3,1
3.5,18.1,21.5,9.4,9.2,303,17.6,13,75.8,6.9,7,0.054,30,0
0.7,4.6,5.2,8.5,7.9,78,16.8,21,85,46.8,26.5,0.878,44.6,0
0.7,1.8,2.6,5.4,4.2,116,12.2,39,77.8,50.2,38.3,1.26,7.7,0
0.9,11.6,12.3,4.3,3.1,185,10.8,44,79.1,52.8,40.1,1.245,55.2,1
0.2,0.4,0.7,8.7,7.1,213,23.7,34,87.5,21.3,9,1.372,17.1,0
0.3,4.9,5.4,5.9,5,74,12.7,32,86.6,41.1,20.4,1.307,18.2,1
-0.1,2.4,2.3,5.4,2.6,1,19.9,58,100.1,40.2,12.8,0.337,19.2,1
0.9,5.1,6.1,6.6,5.7,136,14.5,29,83.1,57.3,41.5,1.054,37.5,0
0.2,3.7,3.9,4.5,2,189,11.9,60,96.5,8.6,3.9,1.353,27.8,1
1.2,4.8,5.9,6.6,6.4,306,13.2,15,77.5,56.2,48,0.49,26,0
0.1,1.1,1.1,4.3,4.1,280,13.6,18,97.2,42.4,15.3,0.075,22,1
0,3,2.9,5.4,3.9,143,15.7,42,94.1,37.1,13.7,0.682,18.5,1
0.7,3.1,3.7,11.5,10.6,138,22.4,22,96.9,34.8,11.6,0.664,31.9,0
0.1,12,12.1,7.8,7.6,113,15.1,16,98.3,29.1,8.8,0.002,42.5,0
0.1,12,12.3,4.7,3.4,289,13.2,44,86,45.6,24.9,1.268,21.6,1
-0.1,2.2,2.1,15.7,15.2,92,25.9,15,93,46.7,20.6,0.899,53.1,0
-0.2,3.6,3.6,5.8,3.8,106,19,47,94,40.4,15.6,1.167,22,1
0.4,1.9,2.4,7,6.5,297,13.6,22,82.4,54.5,38.5,1.353,15.3,0
-0.1,4.6,4.7,6.3,4.8,277,13.8,39,82,40.7,23.2,1.424,23.4,1
0.1,3.8,4.1,8.2,8,87,14.9,12,78.8,46.8,32.5,0,16,0
0.1,6.2,6.2,8.2,8,296,13.7,13,85.1,35.6,17.2,0,18.9,0
0.1,1.6,1.6,8.7,8.3,292,18.2,16,79.9,52.2,38.4,0.104,9.7,0
0.5,6.2,6.7,12.4,12,126,25,15,92.6,40.8,16.6,0.004,120,0
1.7,5.5,7.2,9.6,9.1,101,16.2,18,75,47.2,37.4,0.904,70.8,0
-0.1,-0.4,-0.4,16.7,15.6,48,36.1,21,82.9,52.3,34.7,0,131.9,0
1.5,5.3,6.8,7.8,7.3,302,13.8,21,77.3,57.7,50.9,1.042,15.2,0
0.2,4.4,4.5,4.1,1.6,233,9.9,64,84.1,48.3,29.3,0.96,33.5,1
-0.1,2.8,2.8,15.9,15.3,90,27.6,16,90,47.6,23.3,1.348,67.6,0
0,0.6,0.6,10.8,9.9,51,25.1,23,86.1,37.7,18.1,0,77.6,0
0.5,-0.3,0.2,8.5,8,288,15.4,19,78.2,57,48.1,1.105,14.9,0
0,11.4,11.4,6.4,6.2,75,13.1,15,79.9,56.4,44.5,0,41.3,0
0.2,4,4.2,5.5,3.1,103,14.4,54,82.8,25.6,12.3,0.878,19.2,1
0.4,3.1,3.5,5,3.6,324,13.2,43,87.1,28.7,12.2,0.656,19.9,1
0.1,5.4,5.4,5.3,5,284,11.5,18,54.2,33,44.6,0,15,0
0,1.1,1.2,5.8,1.8,233,35.6,67,93.3,39.6,15.4,1.384,29.5,1
0.7,1.5,2.3,6,5.3,93,12.1,27,75.4,51.5,43.3,1.206,8.6,0
0.2,2.4,2.5,9.9,9.2,271,23.3,22,101.8,-7,1.6,0.99,41.5,0
1.7,14,15.8,11.7,11.3,302,18.6,14,70.6,58.8,66.3,0.008,13.1,0
0.2,0,0.2,7.3,5.8,275,15.6,36,95.2,44.5,17.7,1.109,18.9,1
0.4,10.1,10.5,10.4,10.3,296,17.5,10,82,54.4,38.9,0,15.6,0
2.5,5.8,8.4,7.7,7.4,105,13.6,16,78,57.7,49.6,0.772,26.7,0
1.2,2.7,3.9,19,18.3,313,37.5,16,87.3,41.2,19.8,0.042,188.7,0
0.1,6.7,6.8,6.2,5.9,270,13,20,84.2,50.8,31.5,0,24.4,0
0,-0.2,-0.2,5.6,4.9,293,18.2,30,97.7,43.7,16,0.614,16.9,1
0.2,1.9,2.2,11.5,10.4,82,25.2,25,102.6,33.6,9.2,1.017,39,0
0.1,-1.7,-1.6,6.4,5.1,250,14.8,37,89.5,48.8,24.8,0.914,9.8,0
0.5,7.9,8.5,5.4,4.8,83,11.4,27,89.1,50.7,27,1.369,54.4,1
-0.1,1.5,1.5,10.8,9.7,261,26.9,26,89.1,18.5,7.4,0.397,57,0
0.5,5.5,5.9,4.1,1.2,134,11.4,68,82.8,33.1,16.7,0.723,25.3,1
0,1.9,1.7,4.7,4,76,12.5,32,88.1,19,7.8,0.258,19.7,1
0.6,7.3,8,3.2,3.1,321,6.3,17,85.8,32.1,14.6,0,26.6,0
0.4,3.5,4,7.7,7.5,83,12.3,10,80.2,46.6,30.7,0,18.2,0
0.1,2.1,2.2,6.8,6.1,125,16.6,26,69,58.6,69.9,0,8.3,0
1.7,10,11.8,3,1.7,338,9.6,54,71.8,60.2,66.9,0.186,21.1,0
1.4,12.4,14,3.2,1.2,201,7,65,86.6,34.1,15.4,1.242,52.4,1
0.7,2.6,3.2,11.6,11.1,116,19.2,18,90.8,49,24,1.187,65.4,0
0.1,4.1,4.2,5.3,5,188,11.2,19,98.9,37.7,12.1,0.07,31.1,1
-0.3,4.9,4.9,6.3,5,151,15.5,37,95.4,39.4,14.5,0.92,24.3,1
5.7,16.8,22.4,7.1,6.8,322,12.5,17,79.8,42.4,26.6,0.504,36.5,0
7,21.1,28.3,1.6,0.7,67,3.3,62,73.5,63.3,70.4,0.008,36,0
16.7,17.9,34.7,2.5,1.1,60,8.2,60,74.2,61.8,65.7,0.143,43.8,0
1.2,8.8,10,7.4,7.1,314,16.2,15,72.4,58.2,61.1,0,12.9,0
1.4,10.6,12.1,10.8,9,123,25.1,33,87.5,54.4,35.7,0.567,53.3,0
1.7,14.2,15.8,5.6,5.4,313,9.9,15,79.2,38,22.9,0,24.7,0
0.6,0.6,1.3,7.5,6.6,131,17.2,29,96.5,39.2,13.9,0.99,13.3,0
0.1,4.4,4.4,4.8,1.1,1,11.3,71,93.3,35.1,13,0.87,28.5,1
-0.2,2.1,1.9,5.9,3.6,111,14.2,51,95.8,38,13.4,0.668,11,1
1.7,5,6.8,8.9,8.5,108,14.1,15,75.9,58.2,54.3,0.489,24.2,0
0.5,5.8,6.3,6.4,6.2,282,13.1,13,81.5,46.2,29,0,23.6,0
7.9,35.8,43.3,2.9,2.7,268,7.1,19,89.8,7.8,4.6,0.001,71.9,0
2.8,10.6,13.3,11.5,11.2,299,18.6,13,74.5,3.5,6.2,0.296,31.2,0
0,1,1,4.3,3.7,236,10.6,30,88.3,49.5,26.4,0.022,15.4,0
0,3.3,3.2,15.8,15.3,104,28.9,15,86.8,49.6,27.9,0.003,50.3,0
0,0,0,6.6,5.4,89,13.8,35,88.8,44.1,21.1,1.261,26.7,1
0.1,7.3,7.4,12.1,11.8,295,21.5,13,63.3,27.2,25.3,0,15.1,0
0.3,1.4,1.7,5.3,4.5,278,13.5,31,95.4,29.9,9.8,0.699,18.8,1
0,4.1,4.4,5.7,4.3,327,21.2,39,83.8,39.6,21.1,1.075,23.9,1
0.2,6.3,6.6,6.1,3.3,74,17.6,55,74.3,63.4,68.9,0.005,29.6,0
0.5,25.5,26.1,3.6,2.8,75,9.8,39,90.5,39,16.5,0,34.7,0
0.7,3,3.7,7.4,6.2,258,17.1,33,90.2,49.4,25.1,1.417,15.3,0
